Move,Evaluation (centipawns)
1. e2e4,0.36
2. c7c5,0.34
3. f1c4,-0.04
4. a7a6,0.1
5. a2a4,-0.09
6. e7e6,-0.18
7. g1f3,-0.46
8. d7d5,-0.18
9. e4d5,-0.35
10. e6d5,-0.28
11. c4a2,-0.28
12. g8f6,-0.08
13. e1g1,-0.15
14. f8d6,0.19
15. h2h3,-0.5
16. e8g8,-0.69
17. d2d4,-0.6
18. h7h6,-0.08
19. d4c5,-0.01
20. d6c5,-0.21
21. c1f4,-0.39
22. b8c6,-0.4
23. b1d2,-0.21
24. c8e6,-0.11
25. a1c1,-0.68
26. d8b6,0.13
27. b2b3,-1.81
28. c5a3,-2.09
29. f4e3,-2.31
30. b6c7,-2.54
31. c1b1,-3.55
32. c6b4,-3.19
33. b1a1,-3.37
34. c7c2,-2.95
35. f3d4,-1.98
36. c2d1,-1.38
37. f1d1,-3.08
38. a8c8,-2.78
39. a2b1,-4.22
40. a3b2,-3.06
41. d4e6,-4.28
42. f7e6,-4.78
43. a1a2,-4.99
44. b4a2,-4.57
45. b1a2,-4.97
46. c8c1,-4.89
47. d1c1,-4.95
48. b2c1,-4.7
49. e3c5,-5.57
50. f8c8,-5.33
51. c5e3,-5.37
52. d5d4,-5.41
53. e3f4,-5.89
54. e6e5,-4.15
55. f4e5,-4.93
56. c1d2,-5.08
57. e5d4,-5.0
58. d2f4,-4.76
59. g2g3,-4.45
60. f4d6,-4.42
61. b3b4,-5.35
62. g8f8,-4.66
63. b4b5,-5.12
64. a6b5,-5.08
65. a4b5,-5.32
66. f6e4,-4.6
67. g1g2,-4.68
68. d6c5,-4.18
69. d4c5,-5.14
70. e4c5,-5.66
71. a2d5,-6.25
72. b7b6,-5.79
73. d5c6,-5.78
74. c8d8,-5.55
75. h3h4,-5.95
76. d8d2,-5.3
77. g2f3,-5.49
78. c5d3,-4.35
79. f3e3,-4.15
80. d2f2,-4.16
